Geracao,media,queda_absoluta,queda_percentual
5,56.3,-0.20000000000000284,-0.3539823008849608
2,56.6,-0.19999999999999574,-0.3521126760563305
8,56.1,-0.19999999999999574,-0.35523978685612034
3,56.5,-0.10000000000000142,-0.17667844522968448
16,56.0,-0.10000000000000142,-0.17825311942959254
36,55.9,-0.10000000000000142,-0.1785714285714311
51,55.8,-0.10000000000000142,-0.1788908765652977
169,55.6,-0.10000000000000142,-0.1795332136445268
183,55.5,-0.10000000000000142,-0.17985611510791621
206,55.4,-0.10000000000000142,-0.18018018018018275
