Geracao,media,minimo,maximo,dp,min_const,max_const,media_cai
2,56.6,56,57,0.5163977794943226,True,True,True
3,56.5,56,57,0.5270462766947305,True,True,True
5,56.3,56,57,0.48304589153964744,True,True,True
8,56.1,56,57,0.31622776601683844,True,True,True
51,55.8,55,56,0.42163702135578457,True,True,True
153,55.7,55,56,0.4830458915396479,True,True,True
169,55.6,55,56,0.5163977794943221,True,True,True
183,55.5,55,56,0.5270462766947299,True,True,True
206,55.4,55,56,0.516397779494322,True,True,True
226,55.3,55,56,0.4830458915396473,True,True,True
231,55.2,55,56,0.4216370213557844,True,True,True
425,55.1,55,56,0.3162277660168376,True,True,True
1680,54.8,54,55,0.42163702135578385,True,True,True
1794,54.7,54,55,0.4830458915396481,True,True,True
2720,54.6,54,55,0.5163977794943213,True,True,True
4201,54.4,53,55,0.6992058987801009,True,True,True
4367,54.3,53,55,0.6749485577105528,True,True,True
5612,54.2,53,55,0.6324555320336758,True,True,True
6960,54.1,53,55,0.7378647873726218,True,True,True
6995,54.0,53,55,0.6666666666666673,True,True,True
8956,53.9,53,55,0.5676462121975466,True,True,True
14808,53.8,53,55,0.632455532033676,True,True,True
28717,53.6,53,54,0.5163977794943218,True,True,True
31644,53.5,53,54,0.5270462766947295,True,True,True
37852,53.4,53,54,0.5163977794943215,True,True,True
41690,53.3,53,54,0.48304589153964744,True,True,True
72309,53.2,53,54,0.4216370213557843,True,True,True
